STATE,STATE_NAME,STUSAB,STATENS
1,Alabama,AL,1779775
2,Alaska,AK,1785533
4,Arizona,AZ,1779777
5,Arkansas,AR,68085
6,California,CA,1779778
8,Colorado,CO,1779779
9,Connecticut,CT,1779780
10,Delaware,DE,1779781
11,District of Columbia,DC,1702382
12,Florida,FL,294478
13,Georgia,GA,1705317
16,Idaho,ID,1779783
17,Illinois,IL,1779784
18,Indiana,IN,448508
19,Iowa,IA,1779785
20,Kansas,KS,481813
21,Kentucky,KY,1779786
22,Louisiana,LA,1629543
23,Maine,ME,1779787
24,Maryland,MD,1714934
25,Massachusetts,MA,606926
26,Michigan,MI,1779789
27,Minnesota,MN,662849
28,Mississippi,MS,1779790
29,Missouri,MO,1779791
30,Montana,MT,767982
31,Nebraska,NE,1779792
32,Nevada,NV,1779793
33,New Hampshire,NH,1779794
34,New Jersey,NJ,1779795
35,New Mexico,NM,897535
36,New York,NY,1779796
37,North Carolina,NC,1027616
38,North Dakota,ND,1779797
39,Ohio,OH,1085497
40,Oklahoma,OK,1102857
41,Oregon,OR,1155107
42,Pennsylvania,PA,1779798
44,Rhode Island,RI,1219835
45,South Carolina,SC,1779799
46,South Dakota,SD,1785534
47,Tennessee,TN,1325873
48,Texas,TX,1779801
49,Utah,UT,1455989
50,Vermont,VT,1779802
51,Virginia,VA,1779803
53,Washington,WA,1779804
54,West Virginia,WV,1779805
55,Wisconsin,WI,1779806
56,Wyoming,WY,1779807
60,American Samoa,AS,1802701
66,Guam,GU,1802705
69,Northern Mariana Islands,MP,1779809
72,Puerto Rico,PR,Puerto Rico
78,U.S. Virgin Islands,VI,1802710
